num_cores,core_freq,gpu_freq,emc_freq,cache_pressure,swappiness,dirty_ratio,dirty_bg_ratio,drop_caches,policy,sched_rt_runtime,sched_child_runs_first,memory_growth,inference_time,total_energy_consumption,L1-dcache-load-misses,L1-dcache-loads,L1-dcache-stores,branch-load-misses,branch-loads,branch-misses,cache-misses,cache-references,context-switches,cycles,instructions,irq_handler_entry,irq_handler_exit,softirq_entry,softirq_exit,softirq_raise,major-faults,migrations,sys_enter,sys_exit,sched_boost_cpu,sched_boost_task,sched_migrate_task,sched_process_exec,sched_process_exit,sched_process_fork,sched_process_free,sched_process_wait,sched_stat_runtime,sched_wakeup,sched_wakeup_new,sched_waking
4.0,1881600,1032750000,1062400000,100,100,80,50,0,0,500000,1,0.9,27.4233808517,335889,336781853,2608320313,2600047400,41671798,1431753372,40656691,339372523,2534761905,7860,30640461086,5759211779,5547,5547,10046,10046,10252,0,1382,60197,59533,1561,10407,1789,655,665,664,122,653,16732433600,5925,664,5925
4.0,652800,1134750000,1600000000,100,10,10,5,3,0,500000,0,-1.0,35.649625778200004,355395,442732706,3280301722,3215289968,52198273,1748361911,52463203,452773194,3268695466,15920,27677284081,7565558546,16463,16463,13598,13598,13910,8,2208,73941,73073,2238,16801,2371,859,869,868,157,857,22779933600,18002,868,18002
2.0,960000,930750000,1331200000,100,10,10,50,0,0,500000,0,0.9,34.332420825999996,411817,378096399,3155738663,3219149428,46448751,2186138136,46660815,374077069,3180424667,10172,21119861796,8230955579,7834,7834,10061,10061,10358,0,2209,72321,71489,2150,12527,2376,823,833,832,148,821,13811796992,10611,832,10611
4.0,2035200,1032750000,665600000,0,10,80,50,3,1,500000,0,-1.0,32.5385966301,355892,399649503,2811012193,2811188369,48855156,1491475323,49185141,403595585,2831075396,16129,24844424251,6520355208,11155,11155,11670,11670,11971,6,1674,68700,67904,1873,10922,2037,787,797,796,133,785,20163008512,13691,796,13691
2.0,499200,1236750000,1866000000,100,60,10,5,0,0,500000,0,-1.0,26.1162154675,467471,328434725,2716762782,2697286480,43404790,1614305550,43153111,319791451,2689511712,18044,12119786066,6492608143,11201,11201,9014,9014,9231,41,1968,57910,57270,2056,13467,2059,631,641,640,88,629,13540925696,15212,640,15212
3.0,1574400,930750000,800000000,0,10,10,50,3,1,950000,0,0.9,26.936614513400002,397641,300534449,2280431910,2295342539,39289019,1297936528,39828695,307378494,2294165721,11522,12549022067,5637524082,4403,4403,6325,6325,6552,11,1132,58800,58148,1272,6634,1309,643,653,652,87,641,9563222496,6341,652,6341
3.0,652800,930750000,1062400000,100,60,10,5,3,1,950000,0,0.5,40.870139122,490187,525912556,3805035690,3803637383,57148771,2092373020,57628880,527098906,3776479657,32370,17485749833,8845101810,18060,18060,20414,20414,20797,0,3365,83483,82495,3673,34558,3001,979,989,988,208,977,36233476384,22493,988,22493
2.0,345600,1032750000,1062400000,0,100,10,5,0,0,500000,1,-1.0,43.7887630463,535774,499263006,4392394304,4373326399,59744144,2844772488,59960366,501952525,4432690730,12568,37045748595,11501999816,10448,10448,14383,14383,14805,72,2469,91121,90073,2936,20707,3044,1039,1049,1048,239,1037,18674107680,14214,1048,14214
3.0,2035200,1032750000,1600000000,500,10,10,5,3,0,500000,1,-1.0,44.434043645900005,456969,535655674,3629248159,3628711114,61539565,1925578264,61159489,540794331,3650355671,33658,48402844438,8279864257,28507,28507,22265,22265,22669,38,2465,89094,88082,2817,12860,3543,1003,1013,1012,225,1001,44143888768,27443,1012,27443
1.0,960000,1236750000,1331200000,100,100,80,50,0,1,500000,0,-1.0,28.391382217399997,354229,330993013,2507229512,2500683580,41711606,1376388739,41716849,335648909,2553669783,8041,24849738853,5973682805,6310,6310,10026,10026,10264,0,1527,61488,60800,1584,11075,1890,679,689,688,134,677,16264609792,7043,688,7043
2.0,806400,1032750000,1331200000,0,10,80,50,3,0,500000,1,-1.0,42.2082540989,410976,485837226,3181912026,3194255339,52934793,1900108804,53050461,465868019,3215186654,19141,20158954894,7889424369,12002,12002,13535,13535,13926,12,2574,85241,84217,2396,12306,2794,1015,1025,1024,146,1013,21947274048,15982,1024,15982
3.0,1420800,930750000,1331200000,100,60,10,5,0,0,500000,0,0.9,36.656109333,471682,459292808,3301263357,3307650337,53907094,1821508060,54026969,462294728,3327432847,20089,44409446662,7764762787,19061,19061,19519,19519,19847,22,2326,76771,75879,2778,19039,2977,883,893,892,188,881,35578099456,18674,892,18674
3.0,806400,828750000,1600000000,100,10,10,5,0,1,950000,0,-1.0,35.937130928,372164,442794110,3202083114,3247566720,53294225,1795635468,52885856,437962099,3229698730,14616,36904913459,7673978517,13814,13814,13494,13494,13804,4,2076,73914,73046,2078,13372,2357,859,869,868,173,857,21982707744,14567,868,14567
3.0,2035200,1300500000,1600000000,100,10,80,50,0,0,500000,0,0.5,31.4838466644,409917,375948519,2738067586,2845319364,47811984,1645804870,47101829,358532606,2695755768,8559,30003795921,6487692928,7683,7683,10761,10761,11016,31,1584,67642,66870,1765,11354,2180,763,773,772,159,761,17771267776,8836,772,8836
1.0,652800,1300500000,1331200000,100,10,10,50,3,0,500000,1,0.5,50.6288251877,229886,358810176,2837219153,2844136472,51630530,1333637743,51739999,365152560,2883110732,28450,51849830939,6145261560,18914,18914,17887,17887,18164,25,0,68661,68069,4814,15140,5,583,593,592,6,581,25846801664,20899,592,20899
3.0,1881600,828750000,665600000,100,60,10,5,3,0,950000,1,-1.0,31.6283929348,364591,392065850,2793737022,2855828508,47798552,1587670008,46030945,374998234,2689170523,9713,36494261841,6274242811,8031,8031,11358,11358,11614,10,1537,66497,65725,1834,11254,2243,763,773,772,157,761,18542121824,9450,772,9450
3.0,652800,1236750000,800000000,100,10,10,5,3,1,950000,1,-1.0,30.7629256248,447420,402995994,3224116773,3230326050,48391548,1875615474,48307667,405996467,3210506408,21868,15185484430,7628012987,21395,21395,14383,14383,14670,38,2175,68043,67295,2881,30389,2423,739,749,748,149,737,23840532928,25003,748,25003
3.0,960000,726750000,665600000,100,100,80,50,0,1,950000,0,-1.0,68.2183568478,557519,814889496,4923684430,4938525137,80968672,2831831512,81455648,799113919,4930667965,55957,23898837061,11918942677,37635,37635,25965,25965,26580,10,4459,136380,134744,4165,25786,4144,1627,1637,1636,231,1625,49560053984,41999,1636,41999
3.0,1881600,828750000,1600000000,0,100,80,50,0,0,500000,1,0.5,36.1221888065,388903,449650669,3026787942,3066281368,51791222,1606029337,51749623,435235319,3000158792,17607,44984178906,6863131706,12902,12902,14558,14558,14889,11,1628,74867,73987,1945,9568,2537,871,881,880,144,869,26771934592,13071,880,13071
2.0,1267200,930750000,1062400000,500,10,10,5,0,0,500000,1,-1.0,26.040330171599997,417581,313402676,2459893884,2423349797,43542342,1308567963,43952242,324239138,2528261119,8219,32660166208,5901302704,9189,9189,10638,10638,10869,10,1396,58344,57704,1633,11080,2203,631,641,640,135,629,17684221344,10444,640,10444
4.0,1728000,1300500000,1062400000,0,10,80,5,3,0,950000,1,-1.0,23.7758963108,416663,270337981,1877642326,1898517529,38720022,994372798,38029556,273527975,1870623545,11951,10915544925,4366412843,4704,4704,5062,5062,5300,35,0,54561,53981,1364,7893,5,571,581,580,10,569,5774808320,9509,580,9509
2.0,345600,828750000,665600000,100,100,80,50,3,1,500000,1,0.5,30.449357748,362171,377831101,2936942158,2849729643,49271812,1571852429,49344737,391484488,2947043413,14053,32160951117,6864066383,13903,13903,13398,13398,13668,13,1781,64300,63564,1936,13449,2073,727,737,736,147,725,23187242592,13971,736,13971
2.0,1113600,624750000,800000000,100,100,10,5,0,1,950000,1,-1.0,57.9626896381,227340,348433051,2822462637,2785071898,51572429,1324536829,51972921,351618742,2805615593,23675,49390874751,5991932864,18644,18644,19492,19492,19775,8,0,62636,62050,4908,12780,0,577,587,586,9,575,28905328608,18313,586,18313
2.0,499200,624750000,1331200000,100,10,10,5,3,0,500000,0,-1.0,38.6410245895,383812,473822967,3332701562,3313714776,52072600,1815988239,52188679,467889201,3325998667,13846,51559239230,7736461750,12686,12686,15655,15655,16011,4,1944,78957,78017,2376,16438,2886,931,941,940,207,929,25986926048,13654,940,13654
3.0,1728000,1134750000,800000000,500,100,80,50,3,1,950000,1,-1.0,22.692662954299998,415433,261296304,1988105741,2008698487,37104176,1191964243,36595399,254655330,1993853944,7804,11738493358,4907357373,6273,6273,4699,4699,4889,62,1363,51680,51124,1056,5133,1258,547,557,556,53,545,6333190976,8010,556,8010
3.0,1728000,726750000,1331200000,500,60,80,5,0,0,950000,1,-1.0,36.3846151829,380134,416507105,2901212825,2960567357,50876093,1635831931,51094611,428451324,3013949784,16799,42487946341,7034212039,12279,12279,12452,12452,12804,0,1413,74353,73473,1823,10951,1938,871,881,880,125,869,21477560832,13369,880,13369
2.0,1574400,1236750000,800000000,0,100,10,50,0,0,500000,0,0.9,36.453397274000004,397868,395967003,3204845267,3263403252,47337412,2073574743,46828176,398173505,3207317669,11050,25371540109,8124225287,6793,6793,10512,10512,10819,0,2455,75202,74322,2281,13949,2497,871,881,880,189,869,15145927296,9116,880,9116
4.0,2035200,1236750000,1062400000,100,60,80,50,0,0,500000,1,-1.0,36.878926277199994,395799,408289948,2734435350,2750615516,47536418,1584893008,47712160,408404776,2772623478,15512,16665994111,6794357806,10267,10267,11138,11138,11483,0,2116,75706,74814,1866,10692,2137,883,893,892,157,881,18308256000,13308,892,13308
2.0,2035200,930750000,1866000000,100,10,10,5,3,1,950000,0,-1.0,38.7959167957,376083,458861436,3181169025,3164048684,55639908,1712247574,55688497,464294871,3177379312,19449,45907349598,7428308950,17636,17636,16386,16386,16793,6,1788,79053,78113,2153,9766,2926,931,941,940,143,929,29498970848,18352,940,18352
3.0,960000,1134750000,1866000000,100,60,10,50,3,0,950000,1,-1.0,42.3132781982,216523,311784378,2500806423,2518976059,46059670,1192461165,46182486,316267836,2518051809,18777,45133849983,5456323397,14132,14132,15275,15275,15541,5,0,55868,55330,3892,11218,0,529,539,538,10,527,22653496480,15733,538,15733
3.0,960000,726750000,1866000000,500,60,10,50,0,1,500000,0,0.9,27.9083483219,367174,309577633,2365097832,2345928537,39354367,1389604239,39009208,307738896,2327257342,9882,12824792200,5714199120,4341,4341,5881,5881,6107,53,1628,60299,59623,1316,5901,1645,667,677,676,74,665,8121620576,7011,676,7011
2.0,345600,624750000,800000000,100,10,10,5,3,0,950000,1,-1.0,32.7910563946,349113,400489294,3340043559,3349484959,49143553,2000918745,49194896,398652931,3326179483,12796,17443107422,8079452958,12522,12522,14855,14855,15154,48,2217,71052,70256,2630,20725,2675,787,797,796,190,785,21872238112,15215,796,15215
3.0,1728000,1134750000,1062400000,0,10,10,50,0,1,950000,1,0.5,25.720209360100004,413740,305593075,2396980092,2388686494,43401198,1309197377,42992746,313271344,2457918655,7304,32330258242,5747829584,8401,8401,11049,11049,11287,0,1423,57580,56952,1484,11126,1856,619,629,628,130,617,18952319936,8423,628,8423
4.0,1574400,1236750000,1331200000,100,100,80,50,3,0,950000,0,0.5,34.5852119923,377268,433875281,3009501480,2971645805,49128368,1572116852,48851480,425073320,2931698022,16046,38375560610,6658099072,14971,14971,11429,11429,11741,17,1307,71570,70726,1850,7424,2140,835,845,844,102,833,19499347008,16740,844,16740
3.0,345600,1134750000,665600000,0,10,10,50,3,0,950000,0,-1.0,38.8522617817,407107,436340161,3707885397,3698595605,48772008,2441170241,48326144,430997492,3690600817,14209,22071011435,9324322866,9321,9321,12906,12906,13285,39,2687,80143,79203,2672,19936,2945,931,941,940,197,929,18365219264,12692,940,12692
2.0,1420800,1300500000,1866000000,0,10,10,50,3,1,500000,0,0.5,32.1180462837,355504,390417699,2897950202,2908300291,44989710,1595918140,44934048,393693658,2925604604,14971,17258195045,6769119373,11074,11074,10343,10343,10602,3,2204,68081,67297,2097,14139,2092,775,785,784,135,773,16559817248,13892,784,13892
2.0,345600,1236750000,1600000000,100,60,10,5,0,0,950000,1,0.9,28.1419620514,361041,352227683,2658364849,2587798947,44376190,1370976888,44889196,354524884,2619474106,9657,34475411365,6144829368,7494,7494,11373,11373,11622,37,1940,61245,60557,1818,12112,2104,679,689,688,128,677,18731839264,9023,688,9023
3.0,960000,624750000,1062400000,500,100,10,50,3,0,950000,0,-1.0,35.3590464592,377568,416515217,2912924174,2910215615,50504294,1565990487,50519174,423062318,2932138465,15035,43621795001,6784117390,13285,13285,14123,14123,14460,1,1491,72817,71961,1853,9666,2371,847,857,856,125,845,25698230752,13830,856,13830
3.0,345600,1134750000,800000000,0,10,80,50,3,0,500000,0,0.9,28.5692715645,401583,366870036,2595809748,2632891454,47391221,1385391507,46905690,352830438,2560709053,16460,25430685190,5897958401,12884,12884,10414,10414,10676,0,1305,62449,61749,1515,6197,1909,691,701,700,126,689,18617150048,13537,700,13537
3.0,499200,726750000,1866000000,500,100,80,50,3,1,950000,0,-1.0,31.2457172871,402667,335513599,2163256758,2137069133,39635221,1093455085,40543019,340001406,2135633166,9561,13509503031,5077061112,3956,3956,5051,5051,5256,30,0,62643,61883,1434,6715,0,751,761,760,3,749,7254077312,8569,760,8569
2.0,1113600,1134750000,665600000,100,60,80,5,0,0,950000,0,-1.0,38.5138549805,474764,451880143,3769762640,3716167627,53464741,2325864209,52083934,457039471,3762244375,12429,28669055447,9329176189,6762,6762,10796,10796,11175,122,2485,79103,78187,2363,15172,2623,907,917,916,159,905,14835321600,9574,916,9574
4.0,1574400,1236750000,1062400000,500,10,10,50,3,1,500000,0,0.9,32.806872844699996,365955,388178242,2918956932,2892921812,46894716,1618050418,46833151,401493170,2970521353,13920,28588144521,6896106910,11216,11216,11377,11377,11632,1,1899,69192,68396,1968,12236,2285,787,797,796,129,785,18744660256,12691,796,12691
2.0,345600,1134750000,1062400000,500,100,80,5,0,1,500000,1,0.9,34.330681324000004,412924,380633193,3215213076,3198002450,45578778,2027749612,46421153,390311067,3174368065,11315,21212143519,8000005916,8735,8735,10249,10249,10562,40,2459,71627,70795,2318,13936,2603,823,833,832,159,821,14072336160,12145,832,12145
3.0,2035200,1236750000,1600000000,0,60,80,5,3,1,950000,1,-1.0,29.4485661983,408050,338163406,2361280250,2377339152,41476881,1315017581,41804930,331070771,2371332976,14362,13933150190,5755872298,9201,9201,6974,6974,7187,4,1638,62992,62280,1362,6105,1732,703,713,712,93,701,12036263264,11428,712,11428
3.0,1420800,624750000,1062400000,100,10,80,50,0,0,500000,0,0.9,20.8551578522,415300,265616782,2135306025,2237478593,39522802,1190329897,38349917,251497562,2073006131,6361,22850392754,4813333649,4868,4868,7521,7521,7687,43,1048,48427,47919,1233,7839,1482,499,509,508,87,497,11745810304,6124,508,6124
3.0,1267200,726750000,1600000000,0,10,80,50,3,0,500000,1,0.5,21.4668469429,414617,264855644,2244414935,2133995570,39147497,1144726341,39838014,281013809,2287031108,7562,21390182581,5249921965,8298,8298,7913,7913,8093,35,1273,49287,48767,1311,8763,1552,511,521,520,89,509,12692538912,9807,520,9807
4.0,345600,1134750000,665600000,100,100,10,5,0,0,950000,0,-1.0,145.986104965,1241211,1479751316,8227504324,8235613321,134285894,4462495235,135268053,1464937916,8266396126,86678,44474999444,19965199855,48437,48437,56188,56188,58359,3,0,267343,264201,14533,60229,2,3133,3143,3142,36,3131,70375891424,72733,3142,72733
2.0,806400,726750000,665600000,0,60,80,50,3,0,950000,0,-1.0,42.3675768375,380635,505889444,3377496136,3408408851,58004810,1845035508,57675000,511161128,3416726693,21453,45758168187,7891066782,17639,17639,19266,19266,19729,3,1976,84418,83394,2465,11029,3156,1015,1025,1024,187,1013,36516429728,18116,1024,18116
2.0,1574400,1032750000,665600000,0,100,10,5,0,1,950000,0,0.9,34.7867028713,358199,380254594,3260296415,3253561809,44681116,2166665365,45365473,379729838,3254333423,11850,18136929405,8401306868,5166,5166,9433,9433,9710,0,2381,72842,71998,2192,14246,2273,835,845,844,121,833,13235048320,8593,844,8593
2.0,960000,930750000,1331200000,100,100,10,5,0,0,500000,0,0.9,36.4511048794,384247,425650234,3320198109,3350287676,49723853,2115914008,50040220,426417539,3343144370,17582,14615437977,8388554330,11114,11114,15194,15194,15581,9,2452,75663,74783,2967,28588,2752,871,881,880,195,869,23386031520,17020,880,17020
2.0,1728000,726750000,800000000,500,100,10,5,0,1,950000,1,0.9,27.429666757600003,366318,349171909,2630162334,2528852208,42536694,1321262769,42902780,359029721,2572284506,9422,33783064309,5794275492,9616,9616,11265,11265,11518,3,1422,60066,59402,1660,11646,1962,655,665,664,145,653,18327023232,10377,664,10377
2.0,499200,930750000,1062400000,500,100,80,5,0,0,950000,1,-1.0,52.4329175949,466507,660339841,4606059953,4622617238,70498325,2775226575,70477369,661655773,4639279857,44363,23583523229,11394925050,35598,35598,28046,28046,28585,35,3719,106418,105142,5347,42675,4842,1267,1277,1276,266,1265,48575437280,41719,1276,41719
1.0,1881600,828750000,1331200000,500,10,80,5,0,1,500000,1,0.5,33.8013908863,350372,410826304,2914636514,2926980598,49770036,1604628652,49900215,414472339,2978016645,15269,36753825193,6894150719,14333,14333,13945,13945,14280,36,1718,69015,68195,1938,8923,2201,811,821,820,121,809,23708502752,16147,820,16147
2.0,1574400,1236750000,665600000,100,10,10,5,0,0,950000,0,0.9,35.5657074451,434509,392455196,2775951472,2822504361,46178786,1672532412,46479436,392466295,2812421267,13355,26134226866,6951136639,7957,7957,8941,8941,9264,14,1614,74041,73173,1690,7508,2116,859,869,868,146,857,13737008960,10462,868,10462
3.0,960000,930750000,665600000,0,60,80,5,0,1,500000,1,0.5,30.3513617516,408126,347123012,3180585078,3193912294,43002815,2133371837,43230143,347335681,3244227492,10399,13006603570,8320484814,9295,9295,11301,11301,11576,8,2326,66712,65976,2188,20647,2335,727,737,736,181,725,16605319520,13113,736,13113
2.0,1113600,930750000,800000000,100,60,10,5,0,1,950000,0,0.9,27.195331096599997,419156,330089624,2525348619,2568389011,45726314,1404451986,44488622,336582066,2542425021,11005,29154109678,6011918110,11111,11111,12250,12250,12470,7,1611,60140,59476,1874,11932,2239,655,665,664,118,653,20901578432,12053,664,12053
1.0,960000,1134750000,1331200000,100,10,10,5,0,1,950000,0,0.5,36.6459810734,400936,437028242,3174447652,3138194551,49948828,1724894696,50637237,446399139,3226317204,11611,40486906715,7571414024,11966,11966,15259,15259,15567,3,2077,76506,75614,2262,16614,2896,883,893,892,179,881,26360033600,12588,892,12588
1.0,652800,1236750000,1600000000,100,60,10,50,3,1,500000,0,0.5,31.8280029297,423237,385380920,2745792304,2752765897,47056313,1463392182,46524056,376684813,2721341320,11989,33346468667,6241136263,8644,8644,9915,9915,10194,26,1145,65752,64980,1616,6958,1764,763,773,772,96,761,16848116416,10310,772,10310
2.0,499200,1032750000,1866000000,500,100,80,50,0,0,950000,1,0.9,37.0849819183,385200,441402407,3773624210,3743564017,50470104,2423198136,50325586,449160954,3747260333,18949,16475320026,9476179748,15695,15695,14455,14455,14797,5,2657,78961,78057,2851,28821,2736,895,905,904,220,893,20984889824,20636,904,20636
3.0,1881600,1236750000,1600000000,100,60,10,50,0,1,950000,1,0.9,30.655442714699998,360455,366537815,2790012454,2812837104,48516452,1582542210,48253524,377240122,2815946070,13446,29995118508,6577429290,11341,11341,14013,14013,14284,36,1752,65882,65134,2199,15645,2418,739,749,748,166,737,24272830400,12157,748,12157
2.0,1267200,930750000,1866000000,0,100,10,50,3,1,500000,1,-1.0,35.6002895832,372049,440537188,3153668888,3070976328,48694008,1633280214,49002891,447267234,3107056504,13985,36912806910,7207768233,13775,13775,12881,12881,13166,0,2000,73792,72924,2024,13854,2221,859,869,868,178,857,22098606656,14622,868,14622
3.0,1881600,828750000,800000000,0,60,80,50,0,0,500000,1,0.5,32.639818906799995,415210,394202319,2780090515,2808014580,48793431,1462174293,48495191,403663454,2796399661,15541,40577177758,6382261917,15827,15827,12862,12862,13149,5,1530,67839,67043,1689,8187,2099,787,797,796,126,785,23772874464,15957,796,15957
2.0,345600,930750000,1331200000,500,60,10,50,0,0,500000,1,-1.0,50.07256007189999,239989,358532516,2831635311,2791057652,50803529,1315522083,50285720,368571862,2849202396,22267,38591505233,6115194819,17182,17182,17986,17986,18372,10,0,63756,63134,4468,13374,2,613,623,622,15,611,25152298432,17913,622,17913
3.0,2035200,624750000,1331200000,500,10,10,5,3,0,950000,1,0.9,30.1098222733,437625,369977307,2772081328,2748293348,44565912,1510812400,43855681,363054099,2714249152,7730,26026084802,6365198277,8214,8214,10950,10950,11200,7,1293,65252,64516,1697,11477,1952,727,737,736,186,725,17028547040,9486,736,9486
3.0,1881600,1032750000,1866000000,0,100,10,5,0,1,500000,0,0.5,54.824898243,445996,588745146,3424271396,3413673826,63591399,1910369424,62571589,595562077,3440654715,28693,21234800958,8313114883,13986,13986,15358,15358,15864,45,0,109974,108662,4128,17774,5,1303,1313,1312,10,1301,20415733824,21801,1312,21801
1.0,960000,828750000,1866000000,0,100,80,50,0,0,950000,1,0.9,38.6556491852,354296,353412795,2574280420,2570013191,47259376,1249961066,46502771,352525915,2574099869,17804,37905920403,5652562321,11934,11934,13627,13627,13927,21,0,64345,63687,3422,10979,1,649,659,658,10,647,19364141504,14748,658,14748
1.0,1881600,624750000,665600000,100,60,10,5,3,1,950000,1,-1.0,23.2094869614,402146,283606260,2141147694,2168787128,40209006,1133696050,40206738,284130605,2202021778,8967,25408325793,5135032607,7259,7259,7503,7503,7754,0,1153,52696,52128,1150,4754,1507,559,569,568,91,557,12733726816,8262,568,8262
4.0,2035200,1236750000,665600000,500,100,10,5,3,1,950000,1,0.5,40.4919176102,377239,456035163,3845733435,3886534189,51283543,2544773078,51442008,449128276,3831128095,13876,19506511098,9792136811,12327,12327,13494,13494,13890,84,3146,82990,82002,2786,20146,3125,979,989,988,203,977,18316276160,16511,988,16511
2.0,1420800,726750000,800000000,500,10,10,50,0,0,500000,1,0.9,35.7881188393,373976,406760516,3543156915,3566884892,52631832,2288417882,52503673,404527603,3535763263,11845,20995329891,9081404775,7723,7723,12660,12660,13054,5,2657,74796,73928,2370,16056,2602,859,869,868,173,857,17065009472,10844,868,10844
2.0,2035200,930750000,1062400000,500,60,10,50,3,1,500000,1,-1.0,28.404899597199996,401728,336024968,2494635191,2485774068,45291865,1351163952,45026838,335731237,2474115567,12178,13603848506,6004611585,8183,8183,7557,7557,7795,39,1490,60259,59571,1422,6872,1689,679,689,688,90,677,11582242880,10961,688,10961
3.0,1728000,1134750000,665600000,100,10,80,5,0,0,950000,1,0.5,40.8674278259,428816,480576411,3175744771,3190083524,53085108,1723912696,54245178,476083119,3164472516,16361,17561418982,7382133237,15714,15714,12619,12619,12931,8,2334,81184,80196,2035,11509,2524,979,989,988,109,977,22746687520,18954,988,18954
3.0,499200,1236750000,1062400000,100,10,10,50,0,0,500000,0,0.9,48.9117152691,421825,525987147,3058729784,3069175168,59366232,1685477290,58408979,521664000,3086160583,20973,30982477347,7375861918,10936,10936,14009,14009,14437,41,0,91193,90013,3483,15093,6,1171,1181,1180,12,1169,17504381216,19039,1180,19039
2.0,2035200,726750000,1600000000,500,100,80,5,3,1,950000,0,0.9,24.934561491,390091,299597225,2462677649,2452931821,42267056,1346892345,42427936,323228224,2532088040,9176,24222827934,5873429617,9457,9457,10247,10247,10455,3,1585,56369,55765,1598,10918,1903,595,605,604,110,593,17488009024,10229,604,10229
3.0,652800,828750000,1866000000,100,60,10,5,0,0,500000,0,0.9,34.2831199169,360451,385897979,3256021000,3269900993,46998681,2102845427,47244355,372952518,3196557144,12002,22033875179,8311953152,6738,6738,9939,9939,10251,21,2292,71900,71068,2268,13169,2593,823,833,832,169,821,13309618112,9975,832,9975
2.0,1113600,828750000,1331200000,500,60,80,50,0,1,950000,0,0.5,35.3027584553,360411,413638784,2922549512,2972566492,50843546,1659195733,51400868,414723793,2978978989,16718,31478769599,7043166286,10167,10167,12908,12908,13253,7,1714,73496,72640,1874,9924,2341,847,857,856,133,845,22452392160,11617,856,11617
2.0,345600,624750000,1331200000,100,60,10,50,0,1,950000,1,-1.0,21.8938119411,414042,260237268,2111171787,2091647665,38286922,1132701330,38222210,274621792,2169900736,5957,19466252812,5015696981,8106,8106,7880,7880,8071,0,1184,50227,49695,1199,8024,1516,523,533,532,104,521,12855597312,8336,532,8336
3.0,345600,930750000,800000000,0,60,10,5,0,1,950000,1,0.9,42.3941531181,450341,519634000,3491026982,3480429952,59176764,1836654667,59750143,518743832,3483260196,28700,46802726506,7968306073,26024,26024,21509,21509,21938,0,2367,86145,85145,2600,14024,3500,991,1001,1000,202,989,42619482720,25262,1000,25262
4.0,1728000,726750000,1866000000,500,60,80,50,3,1,500000,0,0.5,38.3851130009,395344,428587575,3123665833,3145582044,49777937,1939990062,49051547,426055025,3118346764,14090,26926240826,7641536555,9584,9584,10592,10592,10993,38,2292,76923,75995,2106,9285,2500,919,929,928,152,917,15033160672,13324,928,13324
3.0,2035200,624750000,800000000,100,10,10,50,3,1,950000,0,-1.0,25.5048558712,363794,334435551,2723821508,2818981987,43148330,1585275161,42557392,324962550,2726644880,12071,32810304003,6287681266,12531,12531,11505,11505,11759,31,1613,60244,59616,1885,11402,2228,619,629,628,140,617,19288339744,13758,628,13758
4.0,1420800,1236750000,800000000,100,60,10,50,0,0,950000,1,0.5,62.0351698399,340853,511336884,3556820093,3598936057,63231574,1793858723,63632376,513160181,3629479868,40875,59056714228,8025844499,24359,24359,22500,22500,22978,16,0,103561,102627,6181,21942,1,925,935,934,13,923,31591523968,29290,934,29290
2.0,499200,1134750000,665600000,500,60,10,50,3,1,500000,0,0.9,25.6216135025,421711,327513660,2630070371,2629560950,45877575,1403372350,45967711,331187253,2667534996,7282,27392833197,6309018273,9035,9035,9612,9612,9879,11,1236,57178,56550,1387,10348,1745,619,629,628,123,617,14862671264,9310,628,9310
2.0,806400,726750000,1600000000,100,10,10,5,3,1,950000,1,0.5,26.4774653912,385318,300230361,2682547597,2690663610,40179565,1672705212,39828481,297121873,2625984523,7958,12679939085,6528397477,6753,6753,7176,7176,7394,12,1847,58011,57371,1551,10354,1701,631,641,640,98,629,9352168352,9376,640,9376
3.0,1113600,624750000,1600000000,500,10,80,5,0,0,500000,1,0.9,32.334469318400004,456684,408290832,3033162939,2984632163,49422537,1586843625,49434343,409314531,3011959516,13020,40234345228,6897844564,15142,15142,16941,16941,17207,38,2398,69240,68456,2518,18614,2748,775,785,784,190,773,28766065568,15695,784,15695
1.0,499200,1134750000,1866000000,100,10,10,50,3,1,500000,0,0.9,23.4249894619,400692,291356281,2200137747,2221573625,42031879,1152778384,42265920,287174286,2190536542,11521,25339821711,5001228130,9168,9168,7552,7552,7766,35,1137,52709,52141,1299,4133,1458,559,569,568,81,557,12793513152,10974,568,10974
2.0,499200,828750000,1331200000,100,10,80,5,0,0,500000,0,0.5,31.7602629662,457553,399005566,2880346873,2881516917,48004491,1582310243,48196951,390523829,2886922356,16021,40542493543,6749506687,14019,14019,14396,14396,14639,0,1741,67918,67146,2167,15420,2360,763,773,772,147,761,26230977824,13846,772,13846
2.0,1574400,1032750000,800000000,0,10,80,5,0,1,500000,0,0.5,29.389502525300003,344467,336252610,2980329519,3013501966,42909465,1907662861,42838035,343171113,3019599363,13062,15077636603,7612321754,7878,7878,8716,8716,8985,100,2246,64545,63833,2119,12277,2185,703,713,712,128,701,11184031072,11798,712,11798
2.0,345600,930750000,1062400000,100,100,80,5,0,0,500000,1,0.5,33.3361809254,407191,417350081,3050105602,3040531632,49972895,1644938082,49641337,424595053,3072107795,17163,37430314619,7180560676,17345,17345,16256,16256,16533,0,1948,70478,69670,2335,15467,2580,799,809,808,150,797,30108318208,16966,808,16966
